id,code,section,weight,critical,standard,evidence
1,01.01,01. Собственник и архитектура управления,0.5333,НЕТ,Определён целевой гость ресторана и его ключевые сценарии посещения.,Попросить собственника и управляющего независимо описать 2–4 ключевых сегмента и сверить ответы.
2,01.02,01. Собственник и архитектура управления,0.5333,НЕТ,"Зафиксировано, какое впечатление и эмоциональное состояние ресторан обещает гостю.","Есть 3–5 конкретных формулировок, которые можно перевести в поведение персонала."
3,01.03,01. Собственник и архитектура управления,0.5333,ДА,На старт консалтинга согласованы 3–5 измеримых результатов на 60 дней.,"Есть документ Day 0 с исходным значением, целью и владельцем каждого результата."
4,01.04,01. Собственник и архитектура управления,0.5333,ДА,Оргструктура ресторана понятна команде; по каждой функции известен владелец результата.,Выборочно спросить 5 сотрудников: кто принимает решение по типовым вопросам.
5,01.05,01. Собственник и архитектура управления,0.5333,ДА,"Границы ролей собственника, управляющего и менеджеров зафиксированы.",Нет дублирования и противоречивых указаний в одной и той же зоне ответственности.
6,01.06,01. Собственник и архитектура управления,0.5333,НЕТ,Назначен владелец стандарта сервиса и его актуальности.,"Есть конкретная должность/ФИО, а не 'все отвечают'."
7,01.07,01. Собственник и архитектура управления,0.5333,ДА,Есть понятная матрица эскалации: сотрудник → менеджер → управляющий → собственник.,"Проверить на 3 кейсах: жалоба, конфликт, компенсация."
8,01.08,01. Собственник и архитектура управления,0.5333,ДА,Собственник не отменяет решения управляющего публично перед командой без критической причины.,Интервью с командой + примеры за последние 30 дней.
9,01.09,01. Собственник и архитектура управления,0.5333,НЕТ,"Есть единое место, где хранится актуальная версия стандартов, инструкций и чек-листов.",Сотрудник может за 2 минуты найти нужный стандарт.
10,01.10,01. Собственник и архитектура управления,0.5333,НЕТ,Определён регулярный ритм управления: weekly + monthly review.,"Есть календарь встреч, повестки и зафиксированные решения."
11,01.11,01. Собственник и архитектура управления,0.5333,НЕТ,У каждой управленческой задачи есть владелец и срок.,Проверить последние 10 задач: owner + deadline + статус.
12,01.12,01. Собственник и архитектура управления,0.5333,НЕТ,"Исключения из правил фиксируются и разбираются, а не становятся новой нормой.",Есть журнал/история решений по повторяющимся исключениям.
13,01.13,01. Собственник и архитектура управления,0.5333,НЕТ,Ключевые приоритеты ресторана одинаково понимают собственник и менеджмент.,Сверить ответы 3 руководителей на вопрос 'что сейчас важнее всего?'.
14,01.14,01. Собственник и архитектура управления,0.5333,НЕТ,Изменения стандартов версионируются и доводятся до команды.,Дата версии + подтверждение обучения/ознакомления.
15,01.15,01. Собственник и архитектура управления,0.5333,НЕТ,"Замерено, сколько времени собственник лично тратит на операционные 'пожары'.",Baseline: часов/неделю и типы вмешательств; повторный замер через 30/60 дней.
16,02.01,02. Управление сменой и лидерство,0.8,НЕТ,Pre-shift проводится перед каждой значимой сменой по одной архитектуре.,"Наблюдение минимум 2 смен; длительность, повестка, присутствующие."
17,02.02,02. Управление сменой и лидерство,0.8,ДА,"До открытия распределены секции, роли и зоны помощи.",Есть схема смены; каждый сотрудник знает свою зону и backup.
18,02.03,02. Управление сменой и лидерство,0.8,ДА,"В пиковое время менеджер присутствует на полу, а не занят административной работой.",Наблюдение в пик 60–90 минут.
19,02.04,02. Управление сменой и лидерство,0.8,НЕТ,У менеджера есть регулярный floor walk с фиксированными зонами контроля.,"Entrance, host, зал, pass, бар, туалеты, атмосфера, проблемные столы."
20,02.05,02. Управление сменой и лидерство,0.8,НЕТ,Менеджер видит текущую нагрузку команды и перераспределяет её до сбоя сервиса.,"Наблюдение + кейс, как менялись секции/помощь в последнюю перегрузку."
21,02.06,02. Управление сменой и лидерство,0.8,НЕТ,"До сервиса менеджер знает брони, VIP, special occasions и потенциально сложные столы.",Pre-shift / booking notes / передача хостес.
22,02.07,02. Управление сменой и лидерство,0.8,НЕТ,"Менеджер не только реагирует на проблемы, но и наблюдает качество до появления жалобы.",Минимум 3 примера превентивного вмешательства за неделю.
23,02.08,02. Управление сменой и лидерство,0.8,НЕТ,Обратная связь сотруднику по серьёзному инциденту даётся не позже следующей смены.,Проверить 3 последних инцидента и сроки обратной связи.
24,02.09,02. Управление сменой и лидерство,0.8,НЕТ,С ключевыми сотрудниками проходят короткие регулярные 1:1.,"Есть ритм, заметки, договорённости и follow-up."
25,02.10,02. Управление сменой и лидерство,0.8,ДА,Коучинг и коррекция поведения не происходят через публичное унижение.,Анонимное интервью команды + наблюдение.
26,02.11,02. Управление сменой и лидерство,0.8,НЕТ,Ожидания от менеджеров описаны наблюдаемыми действиями и KPI.,"Не 'хорошо управляет', а конкретные обязанности/метрики."
