id,code,section,weight,critical,standard,evidence
51,04.06,04. Онбординг и обучение,0.6667,НЕТ,Работа с POS/кассой допускается после проверки навыка.,Чек-лист операций + ошибки/исправления.
52,04.07,04. Онбординг и обучение,0.6667,ДА,Аллергены и особые запросы обучаются как отдельный обязательный сценарий.,"Сотрудник знает: не угадывать, как уточнить, кого подключить."
53,04.08,04. Онбординг и обучение,0.6667,НЕТ,Новичок проходит минимум одну shadow-смену с наблюдением за сильным сотрудником.,Факт shadow + что именно наблюдалось.
54,04.09,04. Онбординг и обучение,0.6667,НЕТ,Перед самостоятельной полной секцией новичок работает на ограниченной зоне под контролем.,Есть промежуточный допуск.
55,04.10,04. Онбординг и обучение,0.6667,НЕТ,Жалобы и сложные гости отрабатываются в role play.,"Минимум 3 типовых кейса: задержка, блюдо, конфликт."
56,04.11,04. Онбординг и обучение,0.6667,НЕТ,Для релевантных ролей есть базовая винная/барная подготовка.,Проверка 5 ключевых напитков и правил рекомендации.
57,04.12,04. Онбординг и обучение,0.6667,ДА,Самостоятельная работа разрешается только после sign-off наставника/менеджера.,Есть дата и подпись/цифровое подтверждение допуска.
58,04.13,04. Онбординг и обучение,0.6667,НЕТ,Есть регулярное микрообучение действующей команды.,Минимум 1 короткая тема в неделю/по выбранному ритму.
59,04.14,04. Онбординг и обучение,0.6667,НЕТ,История обучения и аттестаций хранится по каждому сотруднику.,"Можно увидеть, кто чему обучен и где есть пробел."
60,04.15,04. Онбординг и обучение,0.6667,НЕТ,При изменении меню/стандарта запускается обязательное переобучение.,Есть дата изменения + обучение + проверка понимания.
61,05.01,05. Путь гостя и сервис,1.2,НЕТ,"Бронь можно сделать без лишнего трения, а ключевые детали корректно фиксируются.",Тестовый звонок/онлайн-бронирование; проверить notes.
62,05.02,05. Путь гостя и сервис,1.2,ДА,"При входе гость сразу понимает, что его заметили.",Mystery visit: acknowledgment без необходимости искать сотрудника.
63,05.03,05. Путь гостя и сервис,1.2,НЕТ,"Приветствие тёплое, уверенное и соответствует концепции ресторана.",Наблюдение 5+ встреч гостей.
64,05.04,05. Путь гостя и сервис,1.2,НЕТ,"Если стол не готов, ожидание объясняется и им управляют.",Гость получает реалистичный срок и обновление при изменении.
65,05.05,05. Путь гостя и сервис,1.2,НЕТ,"Гостя сопровождают к столу и передают официанту, а не просто указывают направление.",Mystery visit / наблюдение.
66,05.06,05. Путь гостя и сервис,1.2,НЕТ,"Стол, посадка и окружение готовы до размещения гостя.","Чистота, приборы, меню, стул, температура/свет в зоне."
67,05.07,05. Путь гостя и сервис,1.2,НЕТ,Официант быстро признаёт присутствие нового стола по внутреннему стандарту ресторана.,"Даже если занят, гость получает понятный сигнал."
68,05.08,05. Путь гостя и сервис,1.2,НЕТ,До рекомендаций сотрудник понимает контекст визита и базовые потребности.,"Повод, темп, ограничения, предпочтения — без допроса."
69,05.09,05. Путь гостя и сервис,1.2,НЕТ,Первые действия сервиса выполняются последовательно: меню/вода/напитки по концепции.,Проверить 5 столов.
70,05.10,05. Путь гостя и сервис,1.2,НЕТ,"Темп между курсами управляется, а не зависит от случайности кухни.",Проверить 3 многоэтапных заказа.
71,05.11,05. Путь гостя и сервис,1.2,ДА,Во время визита гость не вынужден долго искать сотрудника глазами.,Mystery observation в пик.
72,05.12,05. Путь гостя и сервис,1.2,НЕТ,"Check-back после подачи конкретный и уместный, а не формальное 'всё хорошо?'.",Наблюдение 5 подач.
73,05.13,05. Путь гостя и сервис,1.2,НЕТ,Грязная посуда и пустая тара убираются своевременно и ненавязчиво.,Наблюдение полного цикла 3 столов.
74,05.14,05. Путь гостя и сервис,1.2,НЕТ,Запрос счёта и оплата проходят без лишнего ожидания и повторных просьб.,Замер 5 кейсов / mystery visit.
75,05.15,05. Путь гостя и сервис,1.2,НЕТ,"Прощание завершает опыт: благодарность, персональный контакт, приглашение вернуться.",Наблюдение 5 уходов.
76,06.01,"06. Меню, продажи и персонализация",0.5333,НЕТ,"Официант знает состав, ключевые техники и вкусовой профиль основных блюд.",Выборочный устный тест 10 позиций.
77,06.02,"06. Меню, продажи и персонализация",0.5333,ДА,При вопросах об аллергенах сотрудник никогда не угадывает и использует установленный путь проверки.,Сценарный тест; проверить эскалацию.
78,06.03,"06. Меню, продажи и персонализация",0.5333,НЕТ,Стоп-лист и временные изменения известны всей гостевой команде до начала сервиса.,Сверить ответы 5 сотрудников.
79,06.04,"06. Меню, продажи и персонализация",0.5333,НЕТ,"Рекомендации строятся от запроса гостя, а не от самой дорогой позиции.",Mystery visit: попросить рекомендацию в 2 разных сценариях.
80,06.05,"06. Меню, продажи и персонализация",0.5333,НЕТ,Дополнительные продажи встроены в заботу о госте и не ощущаются давлением.,Наблюдение + guest feedback.
81,06.06,"06. Меню, продажи и персонализация",0.5333,НЕТ,Команда умеет коротко и убедительно описать signature-позиции.,Тест: 30 секунд на блюдо/напиток.
82,06.07,"06. Меню, продажи и персонализация",0.5333,НЕТ,Сотрудники умеют делать базовые food & beverage pairings в рамках концепции.,3 сценария рекомендации.
83,06.08,"06. Меню, продажи и персонализация",0.5333,ДА,Модификаторы и особые пожелания подтверждаются и корректно передаются в производство.,Проверить 5 чеков с модификаторами.
84,06.09,"06. Меню, продажи и персонализация",0.5333,НЕТ,Ключевые детали сложного заказа повторяются гостю для подтверждения.,Mystery scenario / наблюдение.
85,06.10,"06. Меню, продажи и персонализация",0.5333,НЕТ,Рост среднего чека не ставится выше доверия и качества опыта гостя.,Интервью + отсутствие штрафного давления за отказ гостя.
86,06.11,"06. Меню, продажи и персонализация",0.5333,НЕТ,"Предпочтения постоянных гостей фиксируются там, где это уместно и разрешено.",Проверить 5 regular profiles/notes без лишних персональных данных.
87,06.12,"06. Меню, продажи и персонализация",0.5333,НЕТ,VIP/regular/special occasion notes передаются смене до прихода гостя.,Pre-shift + booking notes.
88,06.13,"06. Меню, продажи и персонализация",0.5333,НЕТ,"Команда регулярно пробует новые/ключевые позиции, а не учит их только по тексту.",Дегустации/разборы за последний месяц.
89,06.14,"06. Меню, продажи и персонализация",0.5333,НЕТ,На смену выбирается ограниченный фокус продаж/знаний вместо десятков приоритетов.,1–2 позиции/навыка в briefing.
90,06.15,"06. Меню, продажи и персонализация",0.5333,НЕТ,"Продажи анализируются не только по среднему чеку, но и по качеству рекомендаций/структуре заказа.","Есть 1–3 показателя, которые не провоцируют агрессивный upsell."
91,07.01,07. Жалобы и восстановление сервиса,0.5333,ДА,Есть единый понятный алгоритм работы с жалобой от первого сигнала до закрытия.,Сотрудник может воспроизвести шаги; алгоритм есть в SOP.
92,07.02,07. Жалобы и восстановление сервиса,0.5333,НЕТ,Фронт-линия имеет заранее определённые полномочия быстро исправить небольшую проблему.,Есть лимит/список действий без ожидания старшего.
93,07.03,07. Жалобы и восстановление сервиса,0.5333,НЕТ,"Границы скидок, комплиментов, замен и void/comp решений формализованы.",Матрица полномочий по ролям.
94,07.04,07. Жалобы и восстановление сервиса,0.5333,ДА,"Чётко определено, когда менеджер обязан подключиться лично.","Food safety, конфликт, повторная ошибка, сильная эмоция, VIP и т.п."
95,07.05,07. Жалобы и восстановление сервиса,0.5333,ДА,Каждая значимая жалоба попадает в единый журнал.,Проверить последние 30 дней; нет 'помню примерно'.
96,07.06,07. Жалобы и восстановление сервиса,0.5333,НЕТ,Причина жалобы кодируется по категориям для поиска повторяемости.,Продукт/время/коммуникация/атмосфера/персонал/система.
97,07.07,07. Жалобы и восстановление сервиса,0.5333,НЕТ,Сотрудник не спорит с восприятием гостя и не перекладывает вину на другой отдел.,Role play + наблюдение.
98,07.08,07. Жалобы и восстановление сервиса,0.5333,НЕТ,"Реакция на жалобу начинается сразу, даже если полное решение требует времени.",Mystery/реальный кейс: acknowledgment + next step.
99,07.09,07. Жалобы и восстановление сервиса,0.5333,НЕТ,"После исправления менеджер/сотрудник возвращается убедиться, что проблема действительно закрыта.",Проверить 3 последних кейса.
100,07.10,07. Жалобы и восстановление сервиса,0.5333,НЕТ,Серьёзные репутационные/эмоциональные кейсы закрывает руководитель нужного уровня.,Есть escalation path и примеры.
